Year,Economy,Economy Label,Variable,Variable Label,Percentage of total business sector,Percentage of total business sector Footnote,Percentage of total business sector Missing value
2002,470,"Malta",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",5.01,,
2002,470,"Malta",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",8.74,"Value added at factor cost.",
2002,688,"Serbia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",,,"Not applicable"
2002,688,"Serbia",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",,,"Not applicable"
2003,124,"Canada",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",3.65,"Includes manufacturing activities 15-37 and business sector services activities 50-74 .",
2003,410,"Korea, Republic of",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",11.44,,
2003,442,"Luxembourg",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",3.53,,
2003,442,"Luxembourg",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",9.24,"Value added at factor cost.",
2003,688,"Serbia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",,,"Not applicable"
2003,688,"Serbia",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",,,"Not applicable"
2004,040,"Austria",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",6.02,,
2004,040,"Austria",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",8.84,"Value added at factor cost.",
2004,056,"Belgium",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",6.78,,
2004,056,"Belgium",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",10.77,"Value added at factor cost.",
2004,060,"Bermuda",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.86,,
2004,060,"Bermuda",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",4.35,,
2004,076,"Brazil",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",1.94,,
2004,124,"Canada",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",3.78,"Data include self-employed jobs.",
2004,152,"Chile",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",1,,
2004,152,"Chile",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",3,,
2004,344,"China, Hong Kong SAR",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",3.64,,
2004,344,"China, Hong Kong SAR",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",5.22,,
2004,196,"Cyprus",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",2.95,,
2004,203,"Czechia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",4.02,,
2004,203,"Czechia",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",9.38,"Value added at factor cost.",
2004,208,"Denmark",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",6.76,,
2004,208,"Denmark",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",8.32,"Value added at factor cost.",
2004,233,"Estonia",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",4.25,,
2004,233,"Estonia",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",9.77,"Value added at factor cost.",
2004,246,"Finland",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",10.41,,
2004,246,"Finland",20,"ICT 2: Value added in the ICT sector as a percentage of total business sector value added",15.15,"Value added at factor cost.",
2004,251,"France",10,"ICT 1: Proportion of total business sector workforce involved in the ICT sector",7.09,,
